title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Pursuit Force: Extreme Justice,PSP,Racing,Sony Computer Entertainment,Bigbig Studios,7.4,0.17,0.07,,0.07,0.03,2008-01-29
Ridge Racer Unbounded,PS3,Racing,Namco Bandai Games,Bugbear Entertainment,,0.17,0.05,,0.09,0.03,2012-03-27
MotoGP 10/11,PS3,Racing,Capcom,Monumental Games,6,0.17,0.04,,0.1,0.03,2011-03-15
Tokyo Xtreme Racer,DC,Racing,Crave Entertainment,Genki,,0.17,,0.17,,0,1999-08-31
World Driver Championship,N64,Racing,Midway Games,Boss Game Studios,,0.17,0.14,,0.03,0,1999-05-31
Off-World Interceptor Extreme,PS,Racing,Crystal Dynamics,Crystal Dynamics,,0.17,0.09,,0.06,0.01,1995-09-29
Fighter Within,XOne,Fighting,Ubisoft,Daoka,,0.17,0.08,,0.07,0.01,2013-11-19
Street Fighter Alpha 2,SNES,Fighting,Capcom,Capcom,8,0.17,,0.17,,,1996-12-19
Fight Night Round 2,GC,Fighting,EA Sports,EA Sports,,0.17,0.13,,0.03,0,2005-02-28
MotoGP 09/10,X360,Racing,Capcom,Monumental Games,7,0.17,0.07,,0.09,0.02,2010-03-23
Hot Wheels: Beat That!,X360,Racing,Activision,Eutechnyx,,0.17,0.15,,0,0.01,2007-09-26
FaceBreaker,PS3,Fighting,EA Sports,EA Canada,,0.17,0.13,,0.03,0.02,2008-09-03
Fighter Maker,PS,Fighting,Agetec,ASCII Entertainment,,0.17,0.05,0.07,0.04,0.01,1999-06-16
F1 2018,XOne,Racing,Codemasters,Codemasters Birmingham,8.5,0.17,0.05,,0.1,0.01,2018-08-24
Super Robot Taisen Compact 2 Dai-1-Bu,WS,Strategy,Bandai,Bandai,,0.17,,0.17,,,2000-03-30
Age of Empires III: Complete Collection,PC,Strategy,Microsoft Game Studios,Ensemble Studios,,0.17,0.01,,0.13,0.03,2009-09-15
Nobunaga no Yabou: Tenshoki,SNES,Strategy,KOEI,Koei,,0.17,,0.17,,0,1996-01-26
Professor Heinz Wolff's Gravity,Wii,Puzzle,Deep Silver,EM Studios,,0.17,0.04,,0.12,0.02,2009-04-06
Luxor 3,Wii,Puzzle,Mumbo Jumbo,MumboJumbo,,0.17,0.16,,,0.01,2008-11-14
Sudoku Gridmaster,DS,Puzzle,Nintendo,Hudson Soft,,0.17,0.13,,0.02,0.01,2006-06-26
Guilty Gear Xrd: Sign,PS4,Fighting,Aksys Games,Arc System Works,,0.17,0.11,0.04,,0.02,2014-12-16
BlazBlue: Central Fiction,PS4,Fighting,Aksys Games,Arc System Works,,0.17,0.1,0.05,,0.02,2016-11-01
Angry Birds Trilogy,PS3,Puzzle,Activision,Rovio Mobile,,0.17,0.12,,0.02,0.03,2012-09-25
Pictionary,DS,Puzzle,THQ,ImaginEngine,,0.17,0.09,,0.06,0.02,2010-11-21
Jewel Match,DS,Puzzle,Atari,PlayV,,0.17,0.05,,0.11,0.02,2011-06-28
WordJong Party,Wii,Puzzle,Destineer,Magellan Interactive,,0.17,0.16,,,0.01,2008-12-18
Bendy and the Ink Machine,NS,Puzzle,Rooster Teeth Games,TheMeatly Games,,0.17,0.15,,,0.02,2018-11-20
Zoo Keeper,DS,Puzzle,Ignition Entertainment,"Buddiez, Inc.",7.2,0.17,0.1,0.05,0.01,0.01,2005-01-18
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,Strategy,Bandai,Bandai,,0.17,,0.16,,0.01,1999-02-04
Goblin Commander: Unleash the Horde,PS2,Strategy,Jaleco,Jaleco Entertainment,7.4,0.17,0.08,,0.07,0.02,2003-11-11
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,Monolith Soft,7.5,0.16,0.08,0.02,0.05,0.01,2018-09-21
PoPoLoCrois: Hajimari no Bouken,PS2,Role-Playing,Sony Computer Entertainment,SCEA,,0.16,,0.16,,,2002-06-20
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Role-Playing,Namco Bandai,CyberConnect2,,0.16,,0.16,,,2007-05-08
Chuck E. Cheese's Party Games,Wii,Misc,UFO Interactive,Tommo,,0.16,0.15,,,0.01,2010-07-27
Solitaire Overload Plus,DS,Misc,Telegames,Cosmigo,,0.16,0.15,,,0.01,2010-10-05
Just Sing!,DS,Misc,Conspiracy Entertainment,Engine Software,,0.16,0.14,,0,0.01,2010-06-22
Family Feud Decades,Wii,Misc,Ubisoft,Ludia Inc.,,0.16,0.15,,,0.01,2010-11-09
Skylanders Giants,3DS,Misc,Activision,n-Space,,0.16,0.13,,0.01,0.02,2012-10-21
The Idolm@ster 2,PS3,Misc,Bandai,Bandai Namco Games,,0.16,,0.16,,,2011-10-27
AC/DC LIVE: Rock Band Track Pack,PS2,Misc,MTV Games,Harmonix Music Systems,,0.16,0.08,,0.06,0.02,2008-11-16
Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,Misc,TDK Core,TDK Core,,0.16,,0.16,,,2006-07-20
Hannah Montana: Rock Out the Show,PSP,Misc,Disney Interactive Studios,"Page 44 Studios, LLC",,0.16,0.13,,0.02,0.02,2009-08-04
Vegas Party,Wii,Misc,Storm City Games,Game Life,,0.16,0.15,,,0.01,2009-10-27
Disgaea 4: A Promise Unforgotten,PSV,Misc,NIS America,Unknown,,0.16,0.03,0.08,0.03,0.02,2020-12-31
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,Misc,Majesco,Japan Art Media,,0.16,0.15,,0,0.01,2007-12-04
Family Party: 30 Great Games Outdoor Fun,Wii,Misc,D3 Publisher,Tamsoft Corporation,,0.16,0.14,,0.01,0.01,2009-09-29
Dynasty Warriors 8: Xtreme Legends,PS3,Misc,Tecmo Koei,Unknown,,0.16,0.02,0.11,0.02,0.01,2014-03-25
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,Misc,Syscom,Unknown,,0.16,,0.15,,0.01,1998-08-06
Fighters Destiny,N64,Fighting,Ocean,Opus Studio,,0.16,0.13,,0.03,0,1998-01-31
Tom and Jerry in Fists of Furry,N64,Fighting,NewKidCo,VIS Entertainment,,0.16,0.13,,0.03,0,2000-11-12
Black & Bruised,PS2,Fighting,Majesco,Digital Fiction,,0.16,0.08,,0.06,0.02,2003-01-26
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,Fighting,Namco Bandai,CyberConnect2,6.2,0.16,0.14,,0,0.01,2008-06-24
TNA iMPACT!,Wii,Fighting,Midway Games,Midway Studios Los Angeles,5.3,0.16,0.14,,0.01,0.01,2008-09-16
Castlevania Judgment,Wii,Fighting,Konami,Konami / Eighting,4.6,0.16,0.12,0.01,0.02,0.01,2008-11-18
